uid, name, line_name, lat, lng, area
23, 苹果园, 地铁1号线, 39.92493926230281, 116.17186325425459, 石景山区
24, 古城, 地铁1号线, 39.9061531560926, 116.18445418995596, 石景山区
25, 八角游乐园, 地铁1号线, 39.90616324383944, 116.20671712811304, 石景山区
26, 八宝山, 地铁1号线, 39.90620494344883, 116.22978798112986, 石景山区
27, 玉泉路, 地铁1号线, 39.906233473228724, 116.24697200540542, 海淀区
28, 五棵松, 地铁1号线, 39.906276756270664, 116.26824541748216, 海淀区
29, 万寿路, 地铁1号线, 39.906212801915196, 116.28891176324773, 海淀区
30, 公主坟, 地铁1号线, 39.90643002819209, 116.30415756554561, 海淀区
31, 军事博物馆, 地铁1号线, 39.90626108452424, 116.31662186105736, 海淀区
32, 木樨地, 地铁1号线, 39.90614418574442, 116.33133259822968, 西城区
33, 南礼士路, 地铁1号线, 39.90589965392799, 116.34640127161164, 西城区
34, 复兴门, 地铁1号线, 39.90587914280032, 116.35099547128144, 西城区
35, 西单, 地铁1号线, 39.905843138608404, 116.36921878359975, 西城区
36, 天安门西, 地铁1号线, 39.90606168548233, 116.3854102911043, 西城区
37, 天安门东, 地铁1号线, 39.906332422140395, 116.39529636606089, 东城区
38, 王府井, 地铁1号线, 39.906714914497634, 116.40538289725222, 东城区
39, 东单, 地铁1号线, 39.90691559084319, 116.41271306577488, 东城区
40, 建国门, 地铁1号线, 39.90722614796603, 116.42921360765135, 东城区
41, 永安里, 地铁1号线, 39.90717995363203, 116.44431215459473, 朝阳区
42, 国贸, 地铁1号线, 39.9074579662501, 116.45456953121464, 朝阳区
43, 大望路, 地铁1号线, 39.907547296485646, 116.4708955469207, 朝阳区
44, 四惠, 地铁1号线, 39.90752942356504, 116.48955208972741, 朝阳区
45, 四惠东, 地铁1号线, 39.907428966399294, 116.50964166252307, 朝阳区
46, 西直门, 地铁2号线, 39.93936226620719, 116.34868016976093, 西城区
47, 车公庄, 地铁2号线, 39.93123701639769, 116.34912594358079, 西城区
48, 阜成门, 地铁2号线, 39.922394001601255, 116.35005863239923, 西城区
49, 复兴门, 地铁2号线, 39.90587914280032, 116.35099547128144, 西城区
50, 长椿街, 地铁2号线, 39.89808465349701, 116.35716233617693, 西城区
51, 宣武门, 地铁2号线, 39.898414862573446, 116.36815049925822, 西城区
52, 和平门, 地铁2号线, 39.89873034058745, 116.37796474694844, 西城区
53, 前门, 地铁2号线, 39.89878414530448, 116.39165285846794, 东城区
54, 崇文门, 地铁2号线, 39.89955765384829, 116.41176592989903, 东城区
55, 北京站, 地铁2号线, 39.903685615860134, 116.42090665678177, 东城区
56, 建国门, 地铁2号线, 39.90722614796603, 116.42921360765135, 东城区
57, 朝阳门, 地铁2号线, 39.923150247189, 116.42747299960769, 东城区
58, 东四十条, 地铁2号线, 39.93253957098297, 116.42791429195563, 东城区
59, 东直门, 地铁2号线, 39.94048013789938, 116.42863408535536, 东城区
60, 雍和宫, 地铁2号线, 39.9474901078184, 116.4104652329971, 东城区
61, 安定门, 地铁2号线, 39.947721096256764, 116.40196849012021, 东城区
62, 鼓楼大街, 地铁2号线, 39.946879062141505, 116.38760852040048, 西城区
63, 积水潭, 地铁2号线, 39.94733224442778, 116.36648391069356, 西城区
498, 西直门, 地铁13号线, 39.93936226620719, 116.34868016976093, 西城区
499, 大钟寺, 地铁13号线, 39.96502147979157, 116.33901873117004, 海淀区
500, 知春路, 地铁13号线, 39.97506981134854, 116.3348130801178, 海淀区
501, 五道口, 地铁13号线, 39.99157504907376, 116.33162896613058, 海淀区
